,Sample Name,Total_wt%,Total_Oxide%,Al2O3,CaO,Cr2O3,FeOt,MgO,MnO,NiO,SiO2,TiO2,Oxide % Sigma_Al2O3,Oxide % Sigma_CaO,Oxide % Sigma_Cr2O3,Oxide % Sigma_FeOt,Oxide % Sigma_MgO,Oxide % Sigma_MnO,Oxide % Sigma_NiO,Oxide % Sigma_SiO2,Oxide % Sigma_TiO2,Al2O3_norm,CaO_norm,Cr2O3_norm,FeOt_norm,MgO_norm,MnO_norm,NiO_norm,SiO2_norm,TiO2_norm,Wt%_Al,Wt%_Ca,Wt%_Cr,Wt%_Fe,Wt%_Mg,Wt%_Mn,Wt%_Ni,Wt%_O,Wt%_Si,Wt%_Ti,Wt% Sigma_Al,Wt% Sigma_Ca,Wt% Sigma_Cr,Wt% Sigma_Fe,Wt% Sigma_Mg,Wt% Sigma_Mn,Wt% Sigma_Ni,Wt% Sigma_Si,Wt% Sigma_Ti,Atomic %_Al,Atomic %_Ca,Atomic %_Cr,Atomic %_Fe,Atomic %_Mg,Atomic %_Mn,Atomic %_Ni,Atomic %_O,Atomic %_Si,Atomic %_Ti,Beam Current (nA)_Ni,Intensity Correction_Al,Intensity Correction_Ca,Intensity Correction_Cr,Intensity Correction_Fe,Intensity Correction_Mg,Intensity Correction_Mn,Intensity Correction_Ni,Intensity Correction_Si,Intensity Correction_Ti,Oxide_Al2O3,Oxide_CaO,Oxide_Cr2O3,Oxide_FeOt,Oxide_MgO,Oxide_MnO,Oxide_NiO,Oxide_SiO2,Oxide_TiO2,Signal Type_Al,Signal Type_Ca,Signal Type_Cr,Signal Type_Fe,Signal Type_Mg,Signal Type_Mn,Signal Type_Ni,Signal Type_Si,Signal Type_Ti,Standard Name_Al,Standard Name_Ca,Standard Name_Cr,Standard Name_Fe,Standard Name_Mg,Standard Name_Mn,Standard Name_Ni,Standard Name_Si,Standard Name_Ti,Standardization Date_Fe,Standardization Date_Mg,Standardization Date_Ni,Standardization Date_Si,k Ratio_Al,k Ratio_Ca,k Ratio_Cr,k Ratio_Fe,k Ratio_Mg,k Ratio_Mn,k Ratio_Ni,k Ratio_Si,k Ratio_Ti,Apparent Concentration_Mg,Apparent Concentration_Si,Apparent Concentration_Ca,Apparent Concentration_Mn,Apparent Concentration_Fe,Apparent Concentration_Ni,Apparent Concentration_Al,Apparent Concentration_Ti,Apparent Concentration_Cr,Factory Standard_Mg,Factory Standard_Si,Factory Standard_Ca,Factory Standard_Mn,Factory Standard_Fe,Factory Standard_Ni,Factory Standard_Al,Factory Standard_Ti,Factory Standard_Cr,Line_O,Line_Mg,Line_Si,Line_Ca,Line_Mn,Line_Fe,Line_Ni,Line_Al,Line_Ti,Line_Cr,SampleID,Fo
10,SanCarlos1_4,99.1336,99.1336,,,,16.5715,43.0028,0.3743,,39.185,,,,,0.0997,0.122,0.0362,,0.1333,,0.0,0.0,0.0,16.71633028559439,43.37863247173511,0.3775712775486817,0.0,39.52746596512181,0.0,,,,12.8813,25.9355,0.2899,,41.7101,18.3169,,,,,0.0775,0.0736,0.0281,,0.0623,,,,,5.056,23.3844,0.1157,,57.148,14.296,,,,,,0.928,0.801,0.826,,1.011,,,,,FeO,MgO,MnO,,SiO2,,,,,EDS,EDS,EDS,,EDS,,,,,Fayalite,Forsterite,Mn,,Forsterite,,2024-06-08 17:20:33,2024-06-08 17:20:18,,2024-06-08 17:20:22,,,,0.10866,0.12016,0.00239,,0.09593,,20.78,18.5,,0.24,11.95,,,,,No,No,,Yes,No,,,,,K series,K series,K series,,K series,K series,,,,,SanCarlos1_4,0.8222428264088772
11,Springwater1_4,99.181,99.181,,,,16.6304,43.123,0.3155,-0.0021,39.1142,,,,,0.0939,0.115,0.0339,0.0073,0.1257,,0.0,0.0,0.0,16.767372667319332,43.47817319684503,0.31809854703069373,0.0,39.43635558880494,0.0,,,,12.9271,26.008,0.2443,-0.0017,41.7195,18.2838,,,,,0.073,0.0693,0.0262,0.0057,0.0588,,,,,5.0714,23.4376,0.0974,-0.0006,57.1314,14.2628,,99.849,,,,0.928,0.801,0.826,0.878,1.01,,,,,FeO,MgO,MnO,NiO,SiO2,,,,,EDS,EDS,EDS,WDS,EDS,,,,,Fayalite,Forsterite,Mn,UCB Standard Block 2 - NiO,Forsterite,,2024-06-08 17:20:33,2024-06-08 17:20:18,2024-06-08 10:44:59,2024-06-08 17:20:22,,,,0.10904,0.12052,0.00202,-1e-05,0.0957,,20.84,18.46,,0.2,12.0,0.0,,,,No,No,,Yes,No,No,,,,K series,K series,K series,,K series,K series,Kα,,,,Springwater1_4,0.8221321967216647
12,Springwater1_5,99.181,99.181,,,,16.6304,43.123,0.3155,-0.0021,39.1142,,,,,0.0939,0.115,0.0339,0.0073,0.1257,,0.0,0.0,0.0,16.767372667319332,43.47817319684503,0.31809854703069373,0.0,39.43635558880494,0.0,,,,12.9271,26.008,0.2443,-0.0017,41.7195,18.2838,,,,,0.073,0.0693,0.0262,0.0057,0.0588,,,,,5.0714,23.4376,0.0974,-0.0006,57.1314,14.2628,,99.849,,,,0.928,0.801,0.826,0.878,1.01,,,,,FeO,MgO,MnO,NiO,SiO2,,,,,EDS,EDS,EDS,WDS,EDS,,,,,Fayalite,Forsterite,Mn,UCB Standard Block 2 - NiO,Forsterite,,2024-06-08 17:20:33,2024-06-08 17:20:18,2024-06-08 10:44:59,2024-06-08 17:20:22,,,,0.10904,0.12052,0.00202,-1e-05,0.0957,,20.84,18.46,,0.2,12.0,0.0,,,,No,No,,Yes,No,No,,,,K series,K series,K series,,K series,K series,Kα,,,,Springwater1_5,0.8221321967216647
13,K24_1_FIA,100.0599,100.0599,,0.2467,,12.8475,46.3146,0.2098,0.3463,40.0949,,,0.0223,,0.0844,0.1165,0.0322,0.01,0.1271,,0.0,0.2465525615681822,0.0,12.839821786571628,46.28692042158789,0.20967461458048084,0.34609303636425415,40.07093757932756,0.0,,0.1763,,9.9866,27.9328,0.1625,0.2721,42.7873,18.7422,,,0.0159,,0.0656,0.0703,0.0249,0.0079,0.0594,,,0.094,,3.8198,24.5423,0.0632,0.099,57.1272,14.2545,,100.047,,0.953,,0.924,0.835,0.822,0.878,1.008,,,CaO,,FeO,MgO,MnO,NiO,SiO2,,,EDS,,EDS,EDS,EDS,WDS,EDS,,,Wollastonite,,Fayalite,Forsterite,Mn,UCB Standard Block 2 - NiO,Forsterite,,2024-06-08 17:20:33,2024-06-08 17:20:18,2024-06-08 10:44:59,2024-06-08 17:20:22,,0.0015,,0.08387,0.13488,0.00134,0.00228,0.0979,,23.33,18.88,0.17,0.13,9.23,0.24,,,,No,No,Yes,Yes,No,No,,,,K series,K series,K series,K series,K series,K series,Kα,,,,K24_1_FIA,0.8653370930640264
14,K24_21_FIA,99.1253,99.1253,,0.2211,,11.1674,47.1688,0.15,0.4243,39.9937,,,0.0237,,0.0853,0.1241,0.0344,0.0107,0.1355,,0.0,0.22305102733610896,0.0,11.265943205216026,47.58502622438469,0.15132362777212277,0.4280441017580779,40.346611813532974,0.0,,0.158,,8.6806,28.448,0.1162,0.3334,42.6942,18.6949,,,0.0169,,0.0663,0.0748,0.0266,0.0084,0.0633,,,0.0844,,3.3273,25.0482,0.0453,0.1216,57.1244,14.2488,,99.41,,0.95,,0.922,0.851,0.821,0.877,1.006,,,CaO,,FeO,MgO,MnO,NiO,SiO2,,,EDS,,EDS,EDS,EDS,WDS,EDS,,,Wollastonite,,Fayalite,Forsterite,Mn,UCB Standard Block 2 - NiO,Forsterite,,2024-06-08 17:20:33,2024-06-08 17:20:18,2024-06-08 10:44:59,2024-06-08 17:20:22,,0.00134,,0.07276,0.13993,0.00095,0.00279,0.09752,,24.2,18.81,0.15,0.1,8.0,0.29,,,,No,No,Yes,Yes,No,No,,,,K series,K series,K series,K series,K series,K series,Kα,,,,K24_21_FIA,0.8827537951265841
15,K24_22_FIA,99.1548,99.1548,,0.2268,,11.4368,46.8902,0.1788,0.3983,40.0239,,,0.0237,,0.086,0.1238,0.0341,0.0106,0.1354,,0.0,0.22873325345822895,0.0,11.53428780048974,47.289894185657175,0.18032409928717522,0.4016951272152231,40.365065533892455,0.0,,0.1621,,8.89,28.28,0.1385,0.313,42.6622,18.709,,,0.0169,,0.0669,0.0747,0.0264,0.0083,0.0633,,,0.0867,,3.4109,24.9243,0.054,0.1142,57.1367,14.2733,,99.328,,0.951,,0.922,0.848,0.821,0.877,1.007,,,CaO,,FeO,MgO,MnO,NiO,SiO2,,,EDS,,EDS,EDS,EDS,WDS,EDS,,,Wollastonite,,Fayalite,Forsterite,Mn,UCB Standard Block 2 - NiO,Forsterite,,2024-06-08 17:20:33,2024-06-08 17:20:18,2024-06-08 10:44:59,2024-06-08 17:20:22,,0.00138,,0.07454,0.13865,0.00114,0.00262,0.09766,,23.98,18.84,0.15,0.11,8.2,0.27,,,,No,No,Yes,Yes,No,No,,,,K series,K series,K series,K series,K series,K series,Kα,,,,K24_22_FIA,0.8796382476080885
16,K24_23_FIA,100.6798,100.6798,,0.2344,,14.7063,45.0719,0.2087,0.3427,40.1158,,,0.0236,,0.0941,0.1224,0.0344,0.0103,0.1336,,0.0,0.2328173079406196,0.0,14.607001603102109,44.767570058740674,0.20729083689081618,0.3403860555940715,39.8449341377317,0.0,,0.1675,,11.4314,27.1833,0.1616,0.2693,42.7146,18.752,,,0.0169,,0.0732,0.0738,0.0266,0.0081,0.0624,,,0.0895,,4.3812,23.932,0.063,0.0982,57.1454,14.2907,,99.318,,0.956,,0.926,0.817,0.824,0.878,1.009,,,CaO,,FeO,MgO,MnO,NiO,SiO2,,,EDS,,EDS,EDS,EDS,WDS,EDS,,,Wollastonite,,Fayalite,Forsterite,Mn,UCB Standard Block 2 - NiO,Forsterite,,45451.722604166665,2024-06-08 17:20:18,2024-06-08 10:44:59,2024-06-08 17:20:22,,0.00143,,0.09624,0.12851,0.00133,0.00225,0.09811,,22.23,18.92,0.16,0.13,10.59,0.24,,,,No,No,Yes,Yes,No,No,,,,K series,K series,K series,K series,K series,K series,Kα,,,,K24_23_FIA,0.8452758901322714
17,K24_24_FIAB,100.6332,100.6332,,0.31,,16.0959,43.9841,0.1784,0.2382,39.8266,,,0.0243,,0.0991,0.1237,0.0353,0.0096,0.1354,,0.0,0.30804943100288973,0.0,15.994622053159397,43.70734509088452,0.17727747900295332,0.23670120795125266,39.57600473799899,0.0,,0.2216,,12.5116,26.5273,0.1381,0.1872,42.4306,18.6168,,,0.0174,,0.077,0.0746,0.0274,0.0076,0.0633,,,0.1191,,4.8269,23.5088,0.0542,0.0687,57.1407,14.2815,,99.296,,0.958,,0.927,0.806,0.825,0.878,1.011,,,CaO,,FeO,MgO,MnO,NiO,SiO2,,,EDS,,EDS,EDS,EDS,WDS,EDS,,,Wollastonite,,Fayalite,Forsterite,Mn,UCB Standard Block 2 - NiO,Forsterite,,45451.722604166665,2024-06-08 17:20:18,2024-06-08 10:44:59,2024-06-08 17:20:22,,0.0019,,0.10548,0.12358,0.00114,0.00157,0.0975,,21.37,18.81,0.21,0.11,11.6,0.16,,,,No,No,Yes,Yes,No,No,,,,K series,K series,K series,K series,K series,K series,Kα,,,,K24_24_FIAB,0.8296713823510946
18,K24_25_FIA,98.8411,98.8411,,0.2661,,12.9284,45.4613,0.2426,0.3568,39.5859,,,0.0238,,0.0902,0.1232,0.0345,0.0105,0.1346,,0.0,0.26921999046955164,0.0,13.079983933808908,45.99432827032479,0.24544445579824584,0.36098343705199554,40.050039912546495,0.0,,0.1902,,10.0494,27.4182,0.1879,0.2804,42.2107,18.5043,,,0.017,,0.0701,0.0743,0.0267,0.0082,0.0629,,,0.1028,,3.8968,24.4219,0.0741,0.1034,57.1337,14.2674,,99.292,,0.953,,0.924,0.832,0.822,0.878,1.008,,,CaO,,FeO,MgO,MnO,NiO,SiO2,,,EDS,,EDS,EDS,EDS,WDS,EDS,,,Wollastonite,,Fayalite,Forsterite,Mn,UCB Standard Block 2 - NiO,Forsterite,,45451.722604166665,2024-06-08 17:20:18,2024-06-08 10:44:59,2024-06-08 17:20:22,,0.00162,,0.08444,0.13191,0.00155,0.00235,0.0967,,22.82,18.65,0.18,0.15,9.29,0.25,,,,No,No,Yes,Yes,No,No,,,,K series,K series,K series,K series,K series,K series,Kα,,,,K24_25_FIA,0.8624122406332869
19,K24_26_FIA,100.007,100.007,,0.2149,,11.2024,47.5462,0.2014,0.3948,40.4472,,,0.0237,,0.0858,0.1252,0.0346,0.0105,0.1368,,0.0,0.2148851729230683,0.0,11.201627087730946,47.54291953855183,0.20138610435879922,0.39477276067951306,40.44440933575583,0.0,,0.1536,,8.7078,28.6757,0.156,0.3103,43.0968,18.9069,,,0.0169,,0.0667,0.0755,0.0268,0.0083,0.0639,,,0.0813,,3.3075,25.0195,0.0602,0.1121,57.1398,14.2796,,99.544,,0.95,,0.922,0.851,0.82,0.877,1.007,,,CaO,,FeO,MgO,MnO,NiO,SiO2,,,EDS,,EDS,EDS,EDS,WDS,EDS,,,Wollastonite,,Fayalite,Forsterite,Mn,UCB Standard Block 2 - NiO,Forsterite,,45451.722604166665,2024-06-08 17:20:18,45451.447905092595,2024-06-08 17:20:22,,0.0013,,0.07298,0.14115,0.00128,0.0026,0.09868,,24.41,19.03,0.15,0.13,8.03,0.27,,,,No,No,Yes,Yes,No,No,,,,K series,K series,K series,K series,K series,K series,Kα,,,,K24_26_FIA,0.8832538047200794
20,K24_27_FIA,100.078,100.078,,0.2576,,11.3112,47.5274,0.1729,0.4023,40.4067,,,0.0216,,0.0785,0.1136,0.0312,0.0105,0.1241,,0.0,0.257398971403334,0.0,11.302372846806644,47.49031006783702,0.17276507047995518,0.4019860488958124,40.37516699457724,0.0,,0.1841,,8.7923,28.6643,0.1339,0.3161,43.0993,18.8879,,,0.0154,,0.061,0.0685,0.0242,0.0082,0.058,,,0.0974,,3.3389,25.0044,0.0517,0.1142,57.1312,14.2623,,99.806,,0.95,,0.922,0.85,0.82,0.877,1.007,,,CaO,,FeO,MgO,MnO,NiO,SiO2,,,EDS,,EDS,EDS,EDS,WDS,EDS,,,Wollastonite,,Fayalite,Forsterite,Mn,UCB Standard Block 2 - NiO,Forsterite,,45451.722604166665,2024-06-08 17:20:18,45451.447905092595,2024-06-08 17:20:22,,0.00156,,0.0737,0.14093,0.0011,0.00265,0.09857,,24.38,19.01,0.17,0.11,8.11,0.28,,,,No,No,Yes,Yes,No,No,,,,K series,K series,K series,K series,K series,K series,Kα,,,,K24_27_FIA,0.8822123603377203
21,K24_28_FIA,100.2007,100.2007,,0.2513,,11.2243,47.6841,0.1364,0.3749,40.5297,,,0.024,,0.0859,0.1247,0.0345,0.0106,0.1366,,0.0,0.2507966511211998,0.0,11.201817951371599,47.58858970047116,0.13612679352539456,0.37414908279083886,40.44851982071982,0.0,,0.1796,,8.7248,28.7588,0.1056,0.2946,43.1918,18.9454,,,0.0172,,0.0668,0.0752,0.0267,0.0083,0.0639,,,0.0948,,3.3066,25.0363,0.0407,0.1062,57.1385,14.2769,,99.627,,0.95,,0.922,0.852,0.82,0.877,1.007,,,CaO,,FeO,MgO,MnO,NiO,SiO2,,,EDS,,EDS,EDS,EDS,WDS,EDS,,,Wollastonite,,Fayalite,Forsterite,Mn,UCB Standard Block 2 - NiO,Forsterite,,45451.722604166665,2024-06-08 17:20:18,45451.447905092595,2024-06-08 17:20:22,,0.00152,,0.07311,0.14168,0.00087,0.00246,0.09889,,24.51,19.07,0.17,0.09,8.04,0.26,,,,No,No,Yes,Yes,No,No,,,,K series,K series,K series,K series,K series,K series,Kα,,,,K24_28_FIA,0.8833510197194882
22,K24_29_FIA,100.9211,100.9211,,0.2597,,15.1597,44.761,0.2529,0.316,40.1718,,,0.024,,0.0968,0.1242,0.0348,0.0101,0.1359,,0.0,0.2573297358035138,0.0,15.02133845152302,44.352469404316835,0.250591798939964,0.3131158895414338,39.805154719875226,0.0,,0.1856,,11.7839,26.9959,0.1959,0.2483,42.7335,18.7781,,,0.0172,,0.0752,0.0749,0.0269,0.0079,0.0635,,,0.0991,,4.515,23.7597,0.0763,0.0905,57.1531,14.3063,,99.59,,0.957,,0.927,0.813,0.825,0.878,1.01,,,CaO,,FeO,MgO,MnO,NiO,SiO2,,,EDS,,EDS,EDS,EDS,WDS,EDS,,,Wollastonite,,Fayalite,Forsterite,Mn,UCB Standard Block 2 - NiO,Forsterite,,45451.722604166665,2024-06-08 17:20:18,45451.447905092595,2024-06-08 17:20:22,,0.00159,,0.09926,0.12698,0.00162,0.00208,0.09831,,21.96,18.96,0.18,0.16,10.92,0.22,,,,No,No,Yes,Yes,No,No,,,,K series,K series,K series,K series,K series,K series,Kα,,,,K24_29_FIA,0.8403363872653152
23,K24_30_FIA,98.2158,98.2158,,0.2657,,12.8198,45.2803,0.1923,0.3783,39.2795,,,0.0236,,0.0896,0.1226,0.0343,0.0106,0.1336,,0.0,0.27052646261959623,0.0,13.052672734251788,46.102820419097114,0.19579314550902657,0.3851718509935765,39.99301538752891,0.0,,0.1899,,9.965,27.309,0.1489,0.2973,41.9447,18.361,,,0.0169,,0.0696,0.0739,0.0265,0.0083,0.0625,,,0.1032,,3.8877,24.4739,0.0591,0.1103,57.1219,14.2438,,99.243,,0.953,,0.924,0.832,0.822,0.878,1.008,,,CaO,,FeO,MgO,MnO,NiO,SiO2,,,EDS,,EDS,EDS,EDS,WDS,EDS,,,Wollastonite,,Fayalite,Forsterite,Mn,UCB Standard Block 2 - NiO,Forsterite,,45451.722604166665,2024-06-08 17:20:18,45451.447905092595,2024-06-08 17:20:22,,0.00162,,0.08373,0.13145,0.00122,0.00249,0.0959,,22.74,18.5,0.18,0.12,9.21,0.26,,,,No,No,Yes,Yes,No,No,,,,K series,K series,K series,K series,K series,K series,Kα,,,,K24_30_FIA,0.8629389696561225
24,K24_31_FIA,101.1955,101.1955,,0.2483,,14.5277,45.3555,0.1891,0.3144,40.5605,,,0.0239,,0.0951,0.1245,0.0349,0.0102,0.1365,,0.0,0.2453666417973131,0.0,14.35607314554501,44.819680717027936,0.1868660167695204,0.31068575183679115,40.081327727023435,0.0,,0.1775,,11.2926,27.3544,0.1465,0.247,43.0177,18.9598,,,0.0171,,0.0739,0.0751,0.0271,0.008,0.0638,,,0.0942,,4.3,23.9265,0.0567,0.0895,57.1777,14.3555,,99.425,,0.955,,0.926,0.82,0.824,0.878,1.01,,,CaO,,FeO,MgO,MnO,NiO,SiO2,,,EDS,,EDS,EDS,EDS,WDS,EDS,,,Wollastonite,,Fayalite,Forsterite,Mn,UCB Standard Block 2 - NiO,Forsterite,,45451.722604166665,2024-06-08 17:20:18,45451.447905092595,2024-06-08 17:20:22,,0.00151,,0.09502,0.12975,0.00121,0.00207,0.0993,,22.44,19.15,0.17,0.12,10.45,0.22,,,,No,No,Yes,Yes,No,No,,,,K series,K series,K series,K series,K series,K series,Kα,,,,K24_31_FIA,0.8476788506908836
25,K24_31_FIB,100.68,100.68,,0.2473,,14.0712,45.4145,0.2374,0.3482,40.3614,,,0.0239,,0.0937,0.1244,0.0349,0.0103,0.1359,,0.0,0.24562971791815652,0.0,13.976162097735397,45.10776718315454,0.2357965832340087,0.34584823202224874,40.088796185935635,0.0,,0.1768,,10.9378,27.39,0.1838,0.2736,42.8513,18.8668,,,0.017,,0.0728,0.075,0.027,0.0081,0.0635,,,0.0941,,4.1804,24.047,0.0714,0.0995,57.1692,14.3383,,99.361,,0.955,,0.925,0.823,0.823,0.878,1.01,,,CaO,,FeO,MgO,MnO,NiO,SiO2,,,EDS,,EDS,EDS,EDS,WDS,EDS,,,Wollastonite,,Fayalite,Forsterite,Mn,UCB Standard Block 2 - NiO,Forsterite,,2024-06-08 17:20:33,2024-06-08 17:20:18,2024-06-08 10:44:59,2024-06-08 17:20:22,,0.00151,,0.09201,0.13038,0.00151,0.00229,0.09876,,22.55,19.05,0.17,0.15,10.12,0.24,,,,No,No,Yes,Yes,No,No,,,,K series,K series,K series,K series,K series,K series,Kα,,,,K24_31_FIB,0.8519197202108972
26,K24_32_FIA,98.6922,98.6922,,0.2167,,11.4296,46.5019,0.2013,0.3976,39.9452,,,0.0237,,0.0863,0.1236,0.0342,0.0106,0.1353,,0.0,0.21957133433915307,0.0,11.5810453297775,47.11806290865649,0.2039672801221574,0.4028683088751604,40.47448483822952,0.0,,0.1549,,8.8844,28.0458,0.1559,0.3124,42.4666,18.6722,,,0.017,,0.0671,0.0746,0.0265,0.0083,0.0633,,,0.0832,,3.4257,24.841,0.0611,0.1146,57.1581,14.3162,,99.307,,0.951,,0.922,0.847,0.821,0.877,1.008,,,CaO,,FeO,MgO,MnO,NiO,SiO2,,,EDS,,EDS,EDS,EDS,WDS,EDS,,,Wollastonite,,Fayalite,Forsterite,Mn,UCB Standard Block 2 - NiO,Forsterite,,2024-06-08 17:20:33,2024-06-08 17:20:18,2024-06-08 10:44:59,2024-06-08 17:20:22,,0.00132,,0.0745,0.13737,0.00128,0.00261,0.09754,,23.76,18.81,0.15,0.13,8.2,0.27,,,,No,No,Yes,Yes,No,No,,,,K series,K series,K series,K series,K series,K series,Kα,,,,K24_32_FIA,0.8788221397917135
27,0919_50_FIA,100.7724,100.7724,,0.2684,,10.8509,48.1712,0.1354,0.4127,40.934,,,0.024,,0.0848,0.1254,0.0341,0.0109,0.1374,,0.0,0.26634223985488126,0.0,10.767708682717325,47.80188265461048,0.13436191980756673,0.40953592544005024,40.62016857756969,0.0,,0.1918,,8.4345,29.0526,0.1048,0.3243,43.53,19.1344,,,0.0171,,0.0659,0.0756,0.0264,0.0085,0.0642,,,0.1005,,3.1727,25.1032,0.0401,0.116,57.1558,14.3117,,99.368,,0.949,,0.921,0.856,0.82,0.877,1.007,,,CaO,,FeO,MgO,MnO,NiO,SiO2,,,EDS,,EDS,EDS,EDS,WDS,EDS,,,Wollastonite,,Fayalite,Forsterite,Mn,UCB Standard Block 2 - NiO,Forsterite,,2024-06-08 17:20:33,2024-06-08 17:20:18,2024-06-08 10:44:59,2024-06-08 17:20:22,,0.00163,,0.07064,0.14378,0.00086,0.00271,0.09991,,24.87,19.27,0.18,0.09,7.77,0.28,,,,No,No,Yes,Yes,No,No,,,,K series,K series,K series,K series,K series,K series,Kα,,,,0919_50_FIA,0.8878085926227567
28,0919_51_FIA,100.2723,100.2723,,0.2433,,10.8113,47.959,0.1071,0.4239,40.7276,,,0.0237,,0.0846,0.1248,0.0343,0.0109,0.1369,,0.0,0.24263953518522582,0.0,10.781951527940944,47.82880997923652,0.10680926518017955,0.42274927646945015,40.61704041598769,0.0,,0.1739,,8.4038,28.9246,0.0829,0.3331,43.316,19.0379,,,0.0169,,0.0658,0.0752,0.0266,0.0086,0.064,,,0.0916,,3.1767,25.1157,0.0319,0.1198,57.1548,14.3096,,99.338,,0.949,,0.921,0.856,0.82,0.877,1.007,,,CaO,,FeO,MgO,MnO,NiO,SiO2,,,EDS,,EDS,EDS,EDS,WDS,EDS,,,Wollastonite,,Fayalite,Forsterite,Mn,UCB Standard Block 2 - NiO,Forsterite,,45451.722604166665,2024-06-08 17:20:18,45451.447905092595,45451.72247685185,,0.00147,,0.07039,0.14315,0.00068,0.00279,0.09938,,24.76,19.17,0.17,0.07,7.74,0.29,,,,No,No,Yes,Yes,No,No,,,,K series,K series,K series,K series,K series,K series,Kα,,,,0919_51_FIA,0.8877329994122131
29,0919_52_FIA,98.0071,98.0071,,0.221,,10.6845,46.671,0.1879,0.4193,39.8235,,,0.0236,,0.0841,0.1234,0.0341,0.0109,0.1351,,0.0,0.22549363720216473,0.0,10.901750075504655,47.619970777657144,0.1917206082818405,0.42782571076410714,40.633239190590075,0.0,,0.1579,,8.3052,28.1478,0.1455,0.3295,42.3059,18.6153,,,0.0169,,0.0654,0.0744,0.0264,0.0085,0.0631,,,0.0852,,3.2149,25.0288,0.0573,0.1213,57.1642,14.3284,,99.262,,0.95,,0.922,0.854,0.82,0.877,1.008,,,CaO,,FeO,MgO,MnO,NiO,SiO2,,,EDS,,EDS,EDS,EDS,WDS,EDS,,,Wollastonite,,Fayalite,Forsterite,Mn,UCB Standard Block 2 - NiO,Forsterite,,45451.722604166665,2024-06-08 17:20:18,45451.447905092595,45451.72247685185,,0.00134,,0.06959,0.13897,0.00119,0.00276,0.09722,,24.04,18.75,0.15,0.12,7.66,0.29,,,,No,No,Yes,Yes,No,No,,,,K series,K series,K series,K series,K series,K series,Kα,,,,0919_52_FIA,0.8861864062030268
30,0919_52_FIB,99.4472,99.4472,,0.2089,,10.8159,47.434,0.1846,0.4045,40.3994,,,0.0237,,0.0846,0.1244,0.0344,0.0107,0.1364,,0.0,0.21006100718672102,0.0,10.876011716758525,47.69762477211548,0.18562595465135803,0.40674809673063017,40.62392845255729,0.0,,0.1493,,8.4074,28.6079,0.1429,0.3179,42.9373,18.8845,,,0.017,,0.0657,0.075,0.0266,0.0084,0.0638,,,0.0793,,3.2064,25.0623,0.0554,0.1153,57.1604,14.3209,,99.235,,0.949,,0.922,0.854,0.82,0.877,1.007,,,CaO,,FeO,MgO,MnO,NiO,SiO2,,,EDS,,EDS,EDS,EDS,WDS,EDS,,,Wollastonite,,Fayalite,Forsterite,Mn,UCB Standard Block 2 - NiO,Forsterite,,45451.722604166665,2024-06-08 17:20:18,45451.447905092595,45451.72247685185,,0.00127,,0.07043,0.14136,0.00117,0.00266,0.09861,,24.45,19.02,0.14,0.12,7.75,0.28,,,,No,No,Yes,Yes,No,No,,,,K series,K series,K series,K series,K series,K series,Kα,,,,0919_52_FIB,0.8865885302456199
31,"KL0919_001_FIA,B",100.3176,100.3176,,0.2504,,12.852,46.5055,0.1572,0.3491,40.2034,,,0.0259,,0.098,0.1344,0.0378,0.011,0.1468,,0.0,0.2496072473823138,0.0,12.811311275389365,46.35826614671802,0.15670231345247496,0.34799476861487916,40.07611824844295,0.0,,0.179,,9.9901,28.048,0.1217,0.2744,42.9116,18.7929,,,0.0185,,0.0762,0.081,0.0293,0.0086,0.0686,,,0.0951,,3.8099,24.5714,0.0472,0.0995,57.1256,14.2512,,99.217,,0.953,,0.924,0.836,0.822,0.878,1.008,,,CaO,,FeO,MgO,MnO,NiO,SiO2,,,EDS,,EDS,EDS,EDS,WDS,EDS,,,Wollastonite,,Fayalite,Forsterite,Mn,UCB Standard Block 2 - NiO,Forsterite,,45451.722604166665,2024-06-08 17:20:18,45451.447905092595,45451.72247685185,,0.00152,,0.08389,0.13555,0.001,0.0023,0.09815,,23.44,18.93,0.17,0.1,9.23,0.24,,,,No,No,Yes,Yes,No,No,,,,K series,K series,K series,K series,K series,K series,Kα,,,,"KL0919_001_FIA,B",0.8657750044459802
32,KL0919_002_FIA,98.9489,98.9489,,0.2262,,10.7685,47.2607,0.1063,0.4489,40.1382,,,0.0237,,0.0843,0.1242,0.0341,0.0109,0.136,,0.0,0.22860307552997108,0.0,10.882901055899618,47.7627823682551,0.10742929676762125,0.45366896819365177,40.56461523535404,0.0,,0.1617,,8.3705,28.5035,0.0823,0.3528,42.7157,18.7624,,,0.0169,,0.0655,0.0749,0.0264,0.0086,0.0636,,,0.0863,,3.2083,25.0955,0.0321,0.1286,57.1497,14.2994,,99.224,,0.949,,0.922,0.854,0.82,0.877,1.007,,,CaO,,FeO,MgO,MnO,NiO,SiO2,,,EDS,,EDS,EDS,EDS,WDS,EDS,,,Wollastonite,,Fayalite,Forsterite,Mn,UCB Standard Block 2 - NiO,Forsterite,,45451.722604166665,2024-06-08 17:20:18,45451.447905092595,2024-06-08 17:20:22,,0.00137,,0.07013,0.14083,0.00068,0.00295,0.09792,,24.36,18.89,0.15,0.07,7.71,0.31,,,,No,No,Yes,Yes,No,No,,,,K series,K series,K series,K series,K series,K series,Kα,,,,KL0919_002_FIA,0.8866620994727282
